"MATCHANESE INC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNIT 5 2ND FLOOR THE PODIUM ORTIGAS CENTER 12 ADB AVENUE ORTIGAS CENTER WACK-WACK GREENHILLS 1555 CITY OF MANDALUYONG NCR SECOND DISTRICT PHILIPPINES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAT REG TIN 010-757-989-00002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRES POS vv2.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND4504XG2427C0006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24100807313296850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/24/2025 2-09pm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"matchanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIR SALES SUMMARY REPORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Deductions","---","---","---","---","---","---","--D","Adjustment on VAT","---","---","---","---","--D","","","","","","",""
"","","","","","","","","","","","Discount","---","---","---","--D","","","","Discount","---","--D","","","","","","","","","",""
"Date","Beginning Invoice No.","Ending Invoice No.","Grand Accum. Sales Ending Balance","Grand Accum. Beg. Balance","Sales Issued w/ Manual Invoice (per RR 16-2018)","Gross Sales for the Day","VATable Sales","VAT Amount","VAT-Exempt Sales","Zero-Rated Sales","SC","PWD","NAAC","Solo Parent","Others","Returns","Voids","Total Deductions","SC","PWD","Others","VAT on Returns","Others","Total VAT Adjustment","VAT Payable","Net Sales","Sales Overrun/Overflow","Total Income","Reset Counter","Z-Counter","Remarks"
"8/18/2025",16542,16583,4887436.16,4874876.17,0,12822.5,10276.79,1233.21,1049.99,0,33.93,228.58,0,0,0,0,0,262.51,0,0,0,0,0,0,1233.21,12559.99,0,0,0,313,""
"8/19/2025",16584,16657,4906756.17,4887436.16,0,19810.01,16535.71,1984.29,800.01,0,41.07,158.93,0,0,290,990,0,1480,0,0,0,0,0,0,1984.29,19320.01,0,0,0,314,""
"8/20/2025",16658,16732,4929101.89,4906756.17,0,22832.15,19071.43,2288.57,985.72,0,0,246.43,0,0,240,0,0,486.43,0,0,0,0,0,0,2288.57,22345.72,0,0,0,315,""
"8/21/2025",16733,16839,4965127.61,4929101.89,0,36559.66,30258.93,3631.07,2135.72,0,42.86,491.08,0,0,0,0,0,533.94,0,0,0,0,0,0,3631.07,36025.72,0,0,0,316,""
"8/22/2025",16840,16896,4979249.03,4965127.61,0,14451.78,11428.57,1371.43,1321.42,0,0,330.36,0,0,0,300,0,630.36,0,0,0,0,0,0,1371.43,14121.42,0,0,0,317,""
"8/23/2025",16897,16984,5009340.46,4979249.03,0,30521.79,25330.36,3039.64,1721.43,0,48.21,382.15,0,0,0,240,0,670.36,0,0,0,0,0,0,3039.64,30091.43,0,0,0,318,""
"8/24/2025",16985,17069,5041482.9,5009340.46,0,33041.83,25554.46,3066.54,3521.43,0,233.93,646.46,0,0,19,0,0,899.39,0,0,0,0,0,0,3066.54,32142.44,0,0,0,319,""
"8/25/2025",17070,17154,5070072.9,5041482.9,0,29622.5,23517.86,2822.14,2250,0,191.08,371.42,0,0,470,290,0,1322.5,0,0,0,0,0,0,2822.14,28590,0,0,0,320,""
"8/26/2025",17155,17213,5091268.47,5070072.9,0,26645.71,17470.54,2096.46,1628.57,0,0,407.14,0,0,5043,780,0,6230.14,0,0,0,0,0,0,2096.46,21195.57,0,0,0,321,""
"8/27/2025",17214,17272,5114081.33,5091268.47,0,23921.08,19303.57,2316.43,1192.86,0,42.86,255.36,0,0,810,1580,0,2688.22,0,0,0,0,0,0,2316.43,22812.86,0,0,0,322,""
"8/28/2025",17273,17346,5137064.62,5114081.33,0,23305.37,19481.25,2337.75,1164.29,0,0,291.08,0,0,31,890,0,1212.08,0,0,0,0,0,0,2337.75,22983.29,0,0,0,323,""
"8/29/2025",17347,17463,5177383.2,5137064.62,0,40700.73,34633.93,4156.07,1528.58,0,48.21,333.94,0,0,0,420,0,802.15,0,0,0,0,0,0,4156.07,40318.58,0,0,0,324,""
"8/30/2025",17464,17540,5200131.78,5177383.2,0,23473.21,19080.36,2289.64,1378.58,0,137.49,207.14,0,0,380,250,0,974.63,0,0,0,0,0,0,2289.64,22748.58,0,0,0,325,""
"8/31/2025",17541,17639,5236706.06,5200131.78,0,37315.37,30008.93,3601.07,2964.27,0,271.44,469.65,0,0,0,0,0,741.09,0,0,0,0,0,0,3601.07,36574.28,0,0,0,326,""
