Date,Item,Supplier,Amount,Paid Via,Category,Purchasee,Full Amount,TIN,Invoice No.,Address
"July 7, 2025",Correction Tape,NBS,₱65.00,Cash,Supplies,Store,,,,
"July 7, 2025",,Fruitas coconut water,₱160.00,Cash,Supplies,Store,,,,
"July 7, 2025",,"Sm White Sugar, Condensed milk, Whipped Cream, Everwhip",₱1629.50,Cash,Supplies,Store,,,,
"July 7, 2025",,"Irish Luck INC. 16oz Cups, Strawless lids",₱4536.00,Non-Cash,Supplies,Store,,,,
"July 7, 2025",,Lalamove fee - cookies,₱120.00,Cash,Delivery,Store,,,,
"July 7, 2025",,Ivoryway Ice,₱135.00,Cash,Supplies,Store,,,,
"July 6, 2025",S&R,Delivery,₱1843.00,Non-Cash,Supplies,Store,,,,
"July 6, 2025",,R&BTube Ice,₱135.00,Cash,Supplies,Store,,,,
"July 5, 2025",NBS,ADHTape,₱84.00,Cash,Supplies,Store,,,,
"July 5, 2025",,Ice,₱337.50,Cash,Supplies,Store,,,,
"July 4, 2025",,Allegro Beverage Corp. Oatmilk 60L,₱6600.00,Non-Cash,Supplies,Store,,,,
"July 4, 2025",,Storm of Blessing Marketing Thermal Paper,₱900.00,Non-Cash,Supplies,Store,,,,
"July 4, 2025",,Boduo Raw Milktea Hub Customer Tissue,₱414.40,Non-Cash,Supplies,Store,,,,
"July 4, 2025",,Tube ice,₱157.50,Cash,Supplies,Store,,,,
"July 4, 2025",,"Arlene's Dairyhouse Whipping Cream, Mascarpone",₱4418.00,Non-Cash,Supplies,Store,,,,
"July 4, 2025",,"Willard's Enterprises Dairy milk 48L, Whipping Cream 4L",₱6487.04,Non-Cash,Supplies,Store,,,,
"July 3, 2025",,Dishwashing soap,₱173.00,Cash,Supplies,Store,,,,
"July 3, 2025",Supermarket,Grocery,₱612.00,Cash,Supplies,Store,,,,
"July 3, 2025",Coconut Water1000ml,Fruitas,₱160.00,Cash,Supplies,Store,,,,
"July 2, 2025",,"Golden Palco Trading 12oz Lids & Cups, Dome lids",₱5165.44,Non-Cash,Supplies,Store,,,,
"July 2, 2025",,Ivoryway Ice,₱202.00,Cash,Supplies,Store,,,,
"July 1, 2025",,Kamote 2kg,₱200.00,Cash,Supplies,Store,,,,
"July 1, 2025",,Lalamove Warabi Mochi,₱137.00,Cash,Delivery,Store,,,,
"July 1, 2025",,Lalamove Cones,₱190.00,Cash,Delivery,Store,,,,
"July 1, 2025",FICx15 packs,Coneland,₱480.00,Non-Cash,Supplies,Store,,,,
"July 1, 2025",,R&BTube Ice,₱112.00,Cash,Supplies,Store,,,,
"July 1, 2025",,Irish Luck INC. Ice Cream Cups 220pcs,₱1316.00,Non-Cash,Supplies,Store,,,,
"June 30, 2025",,Lalamove Delivery -Whisk and Scoop,₱84.00,Cash,Delivery,Store,,,,
"June 30, 2025",Cookies,Lalamove Fee,₱251.00,Cash,Delivery,Store,,,,
"June 30, 2025","Salted Caramel Syrup, White Choco Syrup, Dairy milk",M.D.R Consumer Goods Trading,₱5620.00,Non-Cash,Supplies,Store,,,,
"June 30, 2025","Chopsticks 100pcs, Mini Spoon 300pcs",Haig and Lee Import Export Corp.,₱548.00,Non-Cash,Supplies,Store,,,,
"June 30, 2025",,Ivoryway Ice,₱180.00,Cash,Supplies,Store,,,,
"June 30, 2025",,SM Eggs Medium 12s,₱117.00,Cash,Supplies,Store,,,,
"June 29, 2025",Supermarket,Grocery,₱844.00,Cash,Supplies,Store,,,,
"June 29, 2025",,Ivoryway Ice,₱135.00,Cash,Supplies,Store,,,,
"June 28, 2025",,Amazing Appetite Food Corp. Dairy 12L,₱985.60,Non-Cash,Supplies,Store,,,,
"June 28, 2025",6packs,R&BTube Ice,₱135.00,Cash,Supplies,Store,,,,
"June 27, 2025",Grab Mart,Delivery,₱3179.00,Non-Cash,Supplies,Store,,,,
"June 27, 2025",7bags,R&BTube Ice,₱158.00,Cash,Supplies,Store,,,,
"June 27, 2025",Coconut Water500ml2x,Fruitas,₱170.00,Cash,Supplies,Store,,,,
"June 27, 2025",Supermarket,Grocery,₱84.00,Cash,Supplies,Store,,,,
"June 27, 2025",,Egg 12pieces,₱180.00,Cash,Supplies,Store,,,,
"June 27, 2025",,Plain tissue (customer tissue) 10 packs,₱414.40,Non-Cash,Supplies,Store,,,,
"June 26, 2025",Cookies,Kukido,₱1470.00,Non-Cash,Supplies,Store,,,,
"June 26, 2025",Lalamove,Delivery,₱180.00,Cash,Supplies,Store,,,,
"June 26, 2025",Coconut Water500ml,Fruitas,₱85.00,Cash,Supplies,Store,,,,
"June 25, 2025",,Ivoryway ice,₱157.50,Cash,Supplies,Store,,,,
